CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR,FECHA,ESTADO,CATEGORIA;
Isacco Annes,Celular,580030,6,Bogotá,Karen,10/16/2024,Cancelado,Accesorios;
Thebault Wisniowski,Laptop,1287812,10,etc...,Karen,09/02/2024,Cerrado,Electrodomésticos;
Robyn Voules,Celular,2520531,6,etc...,Karen,02/14/2025,Pendiente,Electrodomésticos;
Stefania Jagson,Televisor,2573753,5,etc...,John,03/14/2025,Pendiente,etc...;
Donnie Giorgeschi,Televisor,1984110,5,Cali,John,12/04/2024,Cancelado,Tecnología;
Ahmad Dain,etc...,325890,1,Bogotá,Karen,03/21/2025,Pendiente,Accesorios;
Cloe Nickell,Celular,1124708,6,etc...,John,10/03/2024,Cancelado,Electrodomésticos;
Dell Welfare,Laptop,390256,10,etc...,John,11/26/2024,Cerrado,Electrodomésticos;
Bealle Clausewitz,Laptop,299748,1,Medellín,Oscar,10/24/2024,Cerrado,etc...;
Jolee Sopp,Celular,264757,3,Bogotá,Oscar,08/26/2024,Pendiente,Accesorios;
Ev Marcham,etc...,2971735,3,Medellín,John,07/23/2024,Cancelado,Electrodomésticos;
Henderson Fillon,Celular,978873,8,Cali,Karen,04/15/2025,Cancelado,Electrodomésticos;
Tam Ofer,Celular,2503747,9,Cali,Karen,01/15/2025,Cerrado,Tecnología;
Kristofor Funcheon,Televisor,1081541,7,Medellín,Karen,06/30/2024,Pendiente,etc...;
Natassia Nutty,Celular,753311,7,Cali,Karen,12/21/2024,Pendiente,Electrodomésticos;
Byron Upchurch,Celular,2900762,1,Bogotá,Karen,08/26/2024,Pendiente,Accesorios;
Bald Gabbatiss,Laptop,1496844,7,etc...,Oscar,02/12/2025,Cancelado,etc...;
Aleta Mattiuzzi,Laptop,1288721,6,Bogotá,John,01/10/2025,Cancelado,Electrodomésticos;
Jazmin Henke,Televisor,733882,2,Bogotá,Oscar,12/03/2024,Pendiente,Electrodomésticos;
Marjy Scarsbrick,Televisor,1461482,7,Cali,John,09/20/2024,Pendiente,Accesorios;
Merl Pudding,Laptop,2864915,4,Medellín,John,09/22/2024,Pendiente,Tecnología;
Keven McKilroe,etc...,2262245,5,Bogotá,Oscar,07/10/2024,Pendiente,Accesorios;
Tansy Phaup,etc...,2143735,7,Bogotá,Karen,05/08/2024,Pendiente,Tecnología;
Gayelord Berr,Laptop,120892,6,etc...,Karen,02/10/2025,Cerrado,Tecnología;
Lucia Lightwing,Televisor,220839,4,Cali,Karen,06/11/2024,Pendiente,Accesorios;
Laurette Du Barry,Televisor,2162817,5,Medellín,John,02/06/2025,Cerrado,Electrodomésticos;
Sammie Sommers,Laptop,2634848,4,etc...,Oscar,11/26/2024,Pendiente,Accesorios;
Otho Patrono,etc...,129216,4,Bogotá,Oscar,05/17/2024,Pendiente,etc...;
Sashenka Vickers,Laptop,1496500,2,Bogotá,Karen,10/15/2024,Cancelado,etc...;
Brod Jeaffreson,Laptop,916738,5,Cali,Oscar,04/22/2025,Cancelado,etc...;
Zeb Callum,Laptop,1719749,3,etc...,Oscar,05/18/2024,Cerrado,Tecnología;
Nyssa Creamer,Laptop,270165,7,Bogotá,Karen,07/16/2024,Cancelado,Accesorios;
Hershel Pley,Televisor,2816549,5,etc...,Oscar,07/08/2024,Pendiente,Tecnología;
Ailyn Hirsthouse,Laptop,1215757,9,etc...,John,12/14/2024,Pendiente,Tecnología;
Jimmie Toffalo,Celular,1500841,7,etc...,Oscar,08/25/2024,Pendiente,Electrodomésticos;
Murial Pedler,Celular,469182,4,Cali,Karen,10/06/2024,Cancelado,etc...;
Ronnie Dacres,Televisor,321537,6,Cali,Oscar,01/11/2025,Cerrado,Tecnología;
Arliene Yendle,Televisor,291099,2,Medellín,Karen,02/13/2025,Cerrado,Electrodomésticos;
Dodi Ryland,Televisor,1062203,8,etc...,Oscar,02/07/2025,Cancelado,Electrodomésticos;
Judas Arnaudet,etc...,1586782,4,etc...,Karen,10/12/2024,Cancelado,Electrodomésticos;
Trudy Cavalier,Televisor,781174,10,Bogotá,Oscar,06/05/2024,Cerrado,Electrodomésticos;
Braden Briddock,Celular,1615730,10,etc...,John,07/07/2024,Pendiente,etc...;
Claire Whicher,Televisor,275999,3,Bogotá,John,08/03/2024,Cerrado,Tecnología;
Geoffry Kemsley,etc...,549054,7,Medellín,Karen,01/11/2025,Cancelado,etc...;
Bobette Muspratt,Laptop,952109,9,Cali,Karen,10/17/2024,Pendiente,Tecnología;
Annabell Tremlett,Televisor,404852,4,Medellín,Karen,04/15/2025,Pendiente,etc...;
Walsh Epsly,Televisor,593794,3,Cali,John,06/03/2024,Cancelado,Electrodomésticos;
Korrie Lacroux,Celular,2682456,4,Cali,Karen,11/08/2024,Pendiente,Tecnología;
Malchy Brittin,Televisor,1414868,9,Cali,John,09/07/2024,Cancelado,Accesorios;
Caril Matthiae,Televisor,1166096,7,Medellín,Oscar,10/13/2024,Cancelado,Tecnología;
Murray Wipper,etc...,1843094,2,Cali,Karen,06/26/2024,Cerrado,Electrodomésticos;
Basile Drioli,Laptop,246777,4,Bogotá,John,04/29/2025,Cerrado,Electrodomésticos;
Robbyn Luto,etc...,961571,2,Medellín,Oscar,03/21/2025,Cancelado,Accesorios;
Biddie McGuirk,Laptop,2561901,9,Bogotá,Oscar,01/28/2025,Pendiente,Tecnología;
Doroteya Janovsky,Laptop,194254,3,Cali,Oscar,10/12/2024,Pendiente,Accesorios;
Cassius Riccardi,etc...,1105646,1,Cali,John,11/18/2024,Cancelado,Electrodomésticos;
Anastasia D'Avaux,Laptop,307273,5,Cali,John,11/20/2024,Pendiente,Accesorios;
Norby Ricold,etc...,1949284,10,etc...,Oscar,09/13/2024,Cerrado,etc...;
Danya Lasty,etc...,290422,3,Medellín,John,12/23/2024,Cerrado,Accesorios;
Durant Easterling,Celular,2660825,1,Medellín,Oscar,03/15/2025,Cancelado,Electrodomésticos;
Kiley Keilty,Celular,875157,6,etc...,John,08/31/2024,Pendiente,etc...;
Cortney Caskie,Celular,395002,8,etc...,John,01/29/2025,Pendiente,Electrodomésticos;
Lannie Hynde,Celular,2360046,5,Medellín,John,10/10/2024,Cancelado,Tecnología;
Whitney Rawstron,etc...,2070341,10,Bogotá,John,03/29/2025,Cerrado,Accesorios;
Eleanora Snalham,Laptop,2333570,6,etc...,Oscar,02/14/2025,Pendiente,Tecnología;
Sande MacConnel,etc...,635775,2,Cali,John,09/13/2024,Cancelado,Electrodomésticos;
Jim Kilroy,Televisor,2466676,3,Cali,Karen,03/22/2025,Cancelado,Accesorios;
Jo Burrus,Laptop,2851262,5,Bogotá,Oscar,03/13/2025,Cancelado,Electrodomésticos;
Ole Bambrick,etc...,1726505,9,Bogotá,John,10/31/2024,Pendiente,Tecnología;
Myles Craghead,etc...,1907047,9,etc...,Oscar,06/14/2024,Cerrado,Tecnología;
Violet Oulet,etc...,1036455,1,etc...,John,11/20/2024,Cerrado,Electrodomésticos;
Percy Phaup,etc...,817541,10,Cali,Oscar,12/11/2024,Cerrado,Tecnología;
Elora Stonebridge,Laptop,2686432,4,Bogotá,Karen,07/31/2024,Cancelado,Tecnología;
Kris Suttle,Celular,2266667,7,Medellín,Oscar,05/07/2025,Pendiente,Tecnología;
Fabio Rainon,Televisor,2549535,6,Bogotá,John,12/21/2024,Cerrado,Tecnología;
Alys Donke,Celular,112795,7,etc...,Oscar,03/21/2025,Cancelado,etc...;
Guy Skipping,Celular,697341,7,etc...,Oscar,08/16/2024,Pendiente,Electrodomésticos;
Hephzibah Moffatt,Celular,311627,2,etc...,Karen,08/28/2024,Pendiente,Accesorios;
Salmon Smales,Televisor,285831,6,Bogotá,Oscar,08/10/2024,Cerrado,etc...;
Baird Follos,Televisor,2231784,6,Cali,Oscar,01/25/2025,Cancelado,etc...;
Maible Kaye,Televisor,1533476,1,Medellín,John,03/15/2025,Cancelado,Tecnología;
Caz Klimowicz,etc...,2121311,4,etc...,Karen,07/06/2024,Cerrado,Tecnología;
Lynn Chasteney,Laptop,2225001,9,etc...,Oscar,11/20/2024,Cancelado,Accesorios;
Maximilianus Nafziger,etc...,556199,1,Medellín,Oscar,03/10/2025,Cancelado,Electrodomésticos;
Steffie Greaves,Laptop,516353,7,Medellín,John,06/26/2024,Cerrado,Electrodomésticos;
Matthew Chaffin,Celular,2021235,7,etc...,Oscar,03/09/2025,Cerrado,Accesorios;
Bronson Crippin,etc...,2415122,9,etc...,Karen,07/31/2024,Pendiente,etc...;
Toiboid McCay,etc...,1103928,6,etc...,John,10/30/2024,Pendiente,Tecnología;
Amii Tetther,etc...,491990,7,Bogotá,John,07/23/2024,Cerrado,Tecnología;
Penny Peyro,etc...,932167,2,Medellín,Karen,06/04/2024,Pendiente,etc...;
Malorie Lias,Celular,1708399,2,Bogotá,Karen,04/29/2025,Cancelado,Electrodomésticos;
Zacharie Mudge,etc...,1472254,7,etc...,Karen,09/22/2024,Cerrado,Tecnología;
Eddi Ulyat,Televisor,1601991,4,Cali,John,06/17/2024,Pendiente,Accesorios;
Wally Biggs,Laptop,1429299,1,Medellín,John,07/17/2024,Pendiente,Electrodomésticos;
Zolly Lachaize,Laptop,1284231,6,etc...,Oscar,09/09/2024,Cancelado,Accesorios;
Carma Croston,Laptop,2950872,3,Medellín,John,01/23/2025,Cancelado,Accesorios;
Fallon Stolting,Laptop,1936014,3,Medellín,Karen,10/11/2024,Cerrado,Accesorios;
Evelin Pllu,etc...,2467896,10,etc...,Karen,07/28/2024,Pendiente,Accesorios;
Minnie Eles,Televisor,1581575,9,etc...,Oscar,04/02/2025,Cerrado,Electrodomésticos;
Lilli Ashelford,Celular,2518606,2,etc...,Oscar,04/03/2025,Cancelado,Accesorios;
Erik Deaves,Laptop,2102055,6,Cali,Oscar,02/01/2025,Pendiente,Accesorios;
Leola Kubiczek,etc...,1359270,2,Cali,Karen,07/18/2024,Cerrado,etc...;
Jenn Giocannoni,Celular,2737228,1,etc...,Karen,06/13/2024,Pendiente,Accesorios;
Gusta Marmyon,etc...,1033523,1,Cali,John,12/30/2024,Pendiente,etc...;
Bunni Tomson,Celular,1090659,5,Bogotá,Karen,04/13/2025,Cerrado,Accesorios;
Bernete Doveston,etc...,1511679,7,Bogotá,Oscar,07/15/2024,Cerrado,Accesorios;
Rowena Wauchope,Celular,2060334,3,Bogotá,John,05/09/2025,Cancelado,etc...;
Leroy Waything,Celular,2523643,5,Medellín,Oscar,06/13/2024,Cancelado,Accesorios;
Aleksandr Stollen,Televisor,639174,3,Medellín,John,06/15/2024,Cancelado,Accesorios;
Hollyanne Davidge,etc...,2411276,4,Medellín,John,02/28/2025,Cerrado,Electrodomésticos;
Dyna Mewitt,Celular,764238,3,Medellín,Oscar,06/15/2024,Cancelado,Tecnología;
Regina Fanstone,Laptop,2898284,2,Bogotá,Oscar,01/14/2025,Cerrado,Accesorios;
Natassia McFetridge,Televisor,2670045,9,Cali,John,07/19/2024,Pendiente,Tecnología;
Rowan Hampson,Celular,614760,9,etc...,John,02/21/2025,Pendiente,etc...;
Barbette Berkelay,etc...,1341310,8,Bogotá,Oscar,05/23/2024,Cerrado,Electrodomésticos;
Alonso Derges,Televisor,874792,1,Bogotá,Oscar,03/01/2025,Cerrado,Electrodomésticos;
Ardith MacKimmie,etc...,1946055,2,Medellín,Oscar,06/10/2024,Cerrado,Accesorios;
Arlinda Swanwick,etc...,2054306,1,Cali,John,11/19/2024,Cancelado,Electrodomésticos;
Gallard Dosdell,Laptop,1123121,8,etc...,Oscar,10/21/2024,Cancelado,Electrodomésticos;
Alexei Hallitt,Celular,114962,5,Cali,Oscar,01/01/2025,Pendiente,Tecnología;
Onofredo Spaduzza,Celular,981294,3,Cali,Karen,08/17/2024,Cancelado,Tecnología;
Eddi Hildrew,Laptop,2899086,7,Cali,Karen,10/25/2024,Cerrado,Electrodomésticos;
Heinrik Fagence,Laptop,828446,5,Medellín,Oscar,09/04/2024,Pendiente,Electrodomésticos;
Isaac Horlick,Televisor,854176,5,Cali,Karen,04/27/2025,Pendiente,Accesorios;
Brand Bento,Celular,1898269,1,Bogotá,John,08/24/2024,Pendiente,etc...;
Noland Mimmack,Celular,1038801,10,Medellín,Karen,06/13/2024,Pendiente,etc...;
Olivier Humpage,Laptop,519277,8,Cali,Karen,04/11/2025,Cerrado,Accesorios;
Penelope Pounds,Celular,1053191,3,Cali,Karen,05/14/2024,Cerrado,Electrodomésticos;
Greggory Lindblad,Televisor,436159,9,Bogotá,John,12/19/2024,Cancelado,Electrodomésticos;
Grannie Piotr,Televisor,2607836,9,etc...,Oscar,10/15/2024,Cerrado,etc...;
Della Grafom,Laptop,2811913,8,etc...,Oscar,09/21/2024,Pendiente,etc...;
Gerrard Wonfar,Laptop,2362596,4,etc...,Oscar,03/11/2025,Cerrado,Tecnología;
Tildi Chelnam,Televisor,1107074,2,Medellín,John,08/30/2024,Cerrado,Electrodomésticos;
